Sr. No.,Institute Code,Institute Name,Status,Total Intake,Location,Branch,cutoff
119,3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Un-Aided, Linguistic Minority - Tamil",540,Navi Mumbai,AI & Machine Learning,90.64
120,3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Un-Aided, Linguistic Minority - Tamil",540,Navi Mumbai,AI & Data Sci,92.97
121,3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai","Un-Aided, Linguistic Minority - Hindi",480,Mumbai,Comp. Engg.,88.96
122,3465,"Ideal Institute of Technology, Wada, Dist.Thane",Un-Aided,240,Thane,Comp. Engg.,71.23
123,3465,"Ideal Institute of Technology, Wada, Dist.Thane",Un-Aided,240,Thane,ETRX & Tel. Comm.,42.02
124,3471,"New Horizon Institute of Technology & Management, Thane",Un-Aided,300,Thane,Comp. Engg.,84.97
125,3471,"New Horizon Institute of Technology & Management, Thane",Un-Aided,300,Thane,Comp. Sci & Design,72.7
126,3471,"New Horizon Institute of Technology & Management, Thane",Un-Aided,300,Thane,AI & Data Sci,77.84
127,3475,"A. P. Shah Institute of Technology, Thane","Un-Aided, Religious Minority - Jain",720,Thane,Comp. Engg.,89.05
128,3475,"A. P. Shah Institute of Technology, Thane","Un-Aided, Religious Minority - Jain",720,Thane,Info Tech.,86.55
129,3475,"A. P. Shah Institute of Technology, Thane","Un-Aided, Religious Minority - Jain",720,Thane,Comp. Sci & Engg. (AI & Machine Learning),84.15
130,3475,"A. P. Shah Institute of Technology, Thane","Un-Aided, Religious Minority - Jain",720,Thane,Comp. Sci & Engg (Data Sci),84.88
131,3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai","Un-Aided, Linguistic Minority - Hindi",480,Mumbai,Info Tech.,86.58
132,3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai","Un-Aided, Linguistic Minority - Hindi",480,Mumbai,ETRX & Tel. Communication,65.24
133,3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai","Un-Aided, Linguistic Minority - Hindi",480,Mumbai,ETRX & Comp. Sci,74.17
134,3503,"Indala College Of Engineering, Bapsai Tal.Kalyan",Un-Aided,300,Mumbai,Comp. Engg.,65.26
135,3503,"Indala College Of Engineering, Bapsai Tal.Kalyan",Un-Aided,300,Mumbai,Info Tech.,61.26
136,3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Un-Aided,450,Navi Mumbai,Comp. Engg.,86.52
137,3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Un-Aided,450,Navi Mumbai,Info Tech.,84.57
138,3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Un-Aided,450,Navi Mumbai,ETRX & Tel. Communication,59.68
139,3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Un-Aided,450,Navi Mumbai,Comp. Sci & Engg. (IoT & Cyber Security),75.78
140,3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Un-Aided,450,Navi Mumbai,AI & Data Sci,78.66
141,3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Un-Aided,600,Navi Mumbai,Comp. Engg.,88.74
142,3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Un-Aided,600,Navi Mumbai,Info Tech.,85.69
143,3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Un-Aided,600,Navi Mumbai,Comp. Sci & Engg. (AI & Machine Learning),77.84
144,3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Un-Aided,600,Navi Mumbai,Comp. Sci & Engg (Data Sci),79.28
145,3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Un-Aided,630,Navi Mumbai,Comp. Engg.,85.25
146,3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Un-Aided,630,Navi Mumbai,Info Tech.,84.88
147,3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Un-Aided,630,Navi Mumbai,ETRX & Tel. Communication,61.26
